time,data
22.225,-83.6967766749051
22.25,-83.6967763806659
22.275,-83.6967760829873
22.3,-83.6967757817826
22.325,-83.6967754769814
22.35,-83.6967751685522
22.375,-83.6967748564405
22.4,-83.6967745406141
22.425,-83.6967742210178
22.45,-83.6967738976149
22.475,-83.6967735703516
22.5,-83.696773239174
22.525,-83.6967729040218
22.55,-83.6967725648482
22.575,-83.6967722216002
22.6,-83.6967718742242
22.625,-83.696771522671
22.65,-83.6967711668879
22.675,-83.6967708068289
22.7,-83.6967704424579
22.725,-83.6967700737484
22.75,-83.6967697006711
22.775,-83.6967693232044
22.8,-83.696768941308
22.825,-83.6967685549589
22.85,-83.6967681641189
22.875,-83.6967677687683
22.9,-83.6967673688877
22.925,-83.6967669644692
22.95,-83.6967665554948
22.975,-83.6967661419642
23,-83.6967657238643
23.025,-83.6967653012027
23.05,-83.696764873967
23.075,-83.6967644421671
23.1,-83.6967640058164
23.125,-83.6967635649286
23.15,-83.6967631194849
23.175,-83.6967626694985
23.2,-83.6967622149531
23.225,-83.6967617558688
23.25,-83.6967612922289
23.275,-83.6967608240575
23.3,-83.6967603513379
23.325,-83.6967598741029
23.35,-83.6967593923412
23.375,-83.6967589060923
23.4,-83.6967584153481
23.425,-83.6967579201527
23.45,-83.6967574205537
23.475,-83.6967569165945
23.5,-83.6967564082503
23.525,-83.6967558955543
23.55,-83.6967553784881
23.575,-83.6967548570949
23.6,-83.6967543313628
23.625,-83.6967538013416
23.65,-83.6967532670138
23.675,-83.6967527284361
23.7,-83.6967521856025
23.725,-83.6967516385777
23.75,-83.6967510873658
23.775,-83.6967505320358
23.8,-83.6967499726591
23.825,-83.6967494092994
23.85,-83.6967488419259
23.875,-83.6967482705852
23.9,-83.6967476952568
23.925,-83.696747115999
23.95,-83.6967465327877
23.975,-83.6967459456914
24,-83.6967453547018
24.025,-83.6967447598989
24.05,-83.696744161296
24.075,-83.6967435589849
24.1,-83.6967429530603
24.125,-83.6967423436072
24.15,-83.6967417306072
24.175,-83.6967411141296
24.2,-83.6967404941668
24.225,-83.6967398708028
